node1,node2,simRate,merge
the rate of transmission between individuals in the population,( Z _ Z _ ),0.181820355,
infected individuals,Date,0.181655496,
deaths,the method of ( Cox ),0.181594846,
which,recursion,0.181577015,
Element C_ij,symptoms,0.181125583,
the number of recovery events,Wikipedia,0.181078089,
rate immunity,( https:doiorg  ),0.18100992,
rate immunity,[ epicookbook chapters  intro ) ),0.180557434,
Lloyd Jansen,a simple SIR model,0.180477701,
which,E,0.180416345,
I,values,0.180397295,
SEIRD model ,( Z _ Z _ ),0.180174586,
cross - coupling,infection,0.180143148,
infection,genealogies,0.179877803,
large numbers of,Wikipedia,0.17983487,
the probability of all paths,Z Z,0.179663293,
additional mortality,Newick format,0.17957072,
Black,Z _,0.179352443,
E,a grammar,0.179232645,
( https:doiorg  ),pneumococcal transmission,0.179221833,
The models,Wikipedia,0.179061934,
SIRS dynamics,the state,0.178884675,
S,Equations Cross - coupling,0.17885712,
St,The probabilities,0.178848046,
compartmental models,Wikipedia,0.178708361,
patches,a recovery event,0.178544955,
R,a model,0.178385775,
many SEIR models,susceptibles in patches,0.178251487,
Simon Frost,all paths,0.178194137,
R,a grammar,0.178175116,
they,Wikipedia,0.178151463,
Cross - coupling between patches,Wikipedia,0.177991637,
efficient methods for,Black,0.177984591,
Susceptible individuals,simulations,0.177886113,
SIRS ( susceptible ) infection dynamics in a infinite population of households,Simon Frost,0.177844298,
SIRS dynamics,this code,0.177817315,
There,simulations,0.177614021,
there,simulations,0.177614021,
patches,a flow diagram,0.177591035,
Wikipedia,Newick format,0.177422411,
Cross - coupling between patches,Simon Frost,0.1773259,
D,this process,0.177261454,
I R We,simulations,0.17722432,
Beta rate of rate,Z _  _,0.176719318,
I,models,0.176687727,
E,an exposed infectious class,0.176539106,
Z Z,an clear [ wiki  Newick_format ) of this grammar,0.176538249,
Z _  _,data structures,0.176481917,
patches,time,0.176456575,
https:doiorgjmbs  ) ,births,0.176276366,
This section,Z _  _,0.176272616,
individuals,susceptibles in patches,0.176147293,
susceptibles in patches,Individuals,0.176147293,
models,Date,0.1761297,
patches,forecasting of in,0.176112105,
zero,[ epicookbook chapters  intro ) ),0.176030789,
forecasting of in,recursion,0.175810787,
the number of susceptible individuals,Wikipedia,0.175742633,
( Z _ Z _ ),a way,0.175730512,
the simplest models,https:doiorgjmbs  ) ,0.175613989,
( https:doiorg  ),some assumptions,0.175529006,
R,the dynamics of the Ebola virus,0.175384267,
this,( Z _ Z _ ),0.175115639,
simulations,it,0.175006609,
the established ways,Wikipedia,0.174743413,
E,part of the state of the art,0.174690882,
patches,( chapters sir  intro ),0.174666836,
Lloyd Jansen,Black,0.174575247,
Z _,data structures,0.174570006,
patches,compartmental models,0.174305597,
Simon Frost,a way,0.174108647,
the coalescent,Newick format,0.174031716,
the number of susceptible individuals,recursion,0.17395155,
https:doiorgjmbs  ) ,interventions,0.173880644,
This code,susceptibles in patches,0.17384522,
I_d infectious,Wikipedia,0.17345046,
who,Flexibility,0.173410711,
R,the process,0.173395612,
Sigma rate of breakdown,( https:doiorg  ),0.173390041,
D,several features : age,0.173293717,
all paths,Wikipedia,0.173233234,
models,a grammar,0.173151551,
D,downward drift on the transmission rate,0.173145443,
model,births,0.172966263,
births,SEIRD model ,0.172966263,
an exposed infectious class,recursion,0.172828205,
E,the state,0.172457509,
genealogies,Wikipedia,0.172452454,
D,values,0.172346895,
( https:doiorg  ),forecasting of in,0.172284426,
zero,D,0.172179036,
SIRS dynamics,several features : age,0.172175179,
( Z _ Z _ ),numerous extensions to the coalescent,0.17211171,
many SEIR models,Wikipedia,0.172080893,
an example (,recursion,0.172009574,
outflow of each patch,E,0.171995293,
S,additional mortality,0.171961634,
patches,a simple SIR model,0.171930839,
j flow from patch,genealogies,0.171909596,
SIRS dynamics,the states,0.171482006,
cross - coupling,Z _,0.171470656,
the process,Wikipedia,0.171445392,
zero,I_d infectious,0.171431735,
the simplest models,susceptibles in patches,0.171348626,
cross - coupling,Z _  _,0.171036861,
Element C_ij,R,0.171024191,
Brownian motion,Z _,0.170944508,
migration between patches,( Z _ Z _ ),0.170626836,
j flow from patch,recursion,0.170516272,
SIRS dynamics,part of the state of the art,0.170432355,
E,a model,0.17039429,
SEIRD model ,Z _,0.170375276,
other models,Wikipedia,0.17033225,
susceptibles in patches,efficient methods for,0.170313297,
St,the state of our model,0.170279021,
each time step,recursion,0.170275777,
D,an exposed infectious class,0.170269431,
St,all paths,0.169868907,
St,there,0.169866865,
There,St,0.169866865,
the flow from patch,recursion,0.169767051,
a stochastic process for the transmission rate,Z _,0.169723435,
susceptibles in patches,the method,0.169472272,
R,Newick format,0.169379744,
Lloyd Jansen,D,0.169254639,
an endemic equilibrium,( Z _ Z _ ),0.169190031,
Sigma rate of breakdown,Z _,0.169115831,
https:doiorgjmbs  ) ,The models,0.169103922,
patches,R recovered D,0.169088856,
forecasting of in,Wikipedia,0.169010532,
Element C_ij,Wikipedia,0.168963967,
patches,the coalescent,0.168945108,
D,the efficacy of interventions,0.168923245,
SEIRD model ,Z Z,0.16889557,
patches,the final sizeof,0.168832769,
between patch contact,E,0.16879059,
susceptibles in patches,which,0.168787935,
D,the Kingman coalescent,0.168570894,
a stochastic process for the transmission rate,Z Z,0.168511234,
one of the simplest models,D,0.168465734,
two metapopulation SEIR models,( Z _ Z _ ),0.168290316,
Brownian motion,( Z _ Z _ ),0.168246979,
infected individuals,R,0.167918059,
I,Brownian motion,0.167863679,
E,a stochastic process for these parameters,0.167730905,
susceptibles in patches,One way,0.167698157,
between patch contact,recursion,0.167489203,
a model,Z _,0.167413425,
infection,the final sizeof,0.167403426,
susceptibles in patches,a way,0.167330144,
patches,genealogies,0.167241264,
the effective contact rates,Wikipedia,0.167076548,
E,downward drift on the transmission rate,0.166780621,
several features : age,Wikipedia,0.166755765,
Z _  _,the Kingman coalescent,0.166535318,
R,the significant assumptions,0.166412515,
D,one infection event,0.166357282,
R recovered D,models,0.16624911,
SEIRD model ,[ epicookbook chapters  intro ) ),0.166159397,
deaths,a way,0.166155943,
https:doiorgjmbs  ) ,who,0.166073511,
I,Parameters,0.166019409,
i,Parameters,0.166019409,
cross - coupling,genealogies,0.165905067,
E,interest in the total number of people,0.165755591,
the effective contact rates,E,0.16574605,
R,the established ways,0.165703504,
I,Individuals,0.16570183,
individuals,i,0.16570183,
i,Individuals,0.16570183,
individuals,I,0.16570183,
deterministic  time analogues of  model passage times,Simon Frost,0.165689208,
( Z _ Z _ ),the state,0.165573948,
This code,St,0.165399096,
Flexibility,I R We,0.165390891,
Z _  _,a stochastic model of genealogies,0.165279201,
the rate of transmission between individuals in the population,recursion,0.165160777,
susceptibles in patches,the process,0.165140317,
susceptibles in patches,interventions,0.165115335,
patches,Newick format,0.164981804,
D,forecasting of in,0.16480633,
cross - coupling,Date,0.1647774,
E,this code,0.164750103,
D,another language  things,0.164623039,
susceptibles in patches,deterministic  time analogues of  model passage times,0.164608777,
patches,Wikipedia,0.164314821,
R,The following,0.164289812,
Element C_ij,trees,0.164237335,
patches,[ epicookbook chapters  intro ) ),0.164016552,
downward drift on the transmission rate,Z _,0.163674693,
Simon Frost,The probabilities,0.163566384,
https:doiorgjmbs  ) ,i,0.163384218,
https:doiorgjmbs  ) ,I,0.163384218,
R,The details,0.163251624,
a recovery event,( Z _ Z _ ),0.163229165,
between patch contact,Z Z,0.163186993,
these parameters,Wikipedia,0.163140865,
one of the simplest models,Z _,0.163134449,
patches,proportions of ,0.163022714,
birth of in this model,Z _,0.162922985,
the elements on ,Simon Frost,0.162907577,
R recovered D,Wikipedia,0.162836187,
D,the number of susceptible individuals,0.162719265,
This code,Simon Frost,0.162503575,
the effective contact rates,D,0.162472149,
This model,Simon Frost,0.162243911,
the minimum value of the transmission rate Beta,Simon Frost,0.162164493,
individuals,Newick format,0.162145334,
Individuals,Newick format,0.162145334,
the number of parasites per host,SIRS dynamics,0.162134432,
pneumococcal transmission,[ epicookbook chapters  intro ) ),0.161843014,
I,rate immunity,0.161668275,
Lloyd Jansen,E,0.161567173,
the Kingman coalescent,Newick format,0.161551063,
The Kingman coalescent,Newick format,0.161551063,
deaths,susceptibles in patches,0.161249163,
pneumococcal transmission,( chapters sir  intro ),0.16122124,
patches,this,0.161189712,
an exposed infectious class,( Z _ Z _ ),0.161107585,
downward drift on the transmission rate,recursion,0.160850647,
This section,Z _,0.160841851,
Simon Frost,the method,0.160715571,
Equations Cross - coupling,deaths,0.160614882,
matrix Beta,Individuals,0.160602447,
individuals,matrix Beta,0.160602447,
model,Wikipedia,0.160404917,
SEIRD model ,Wikipedia,0.160404917,
SIRS dynamics,the form S,0.160347039,
patches,the state,0.160167888,
susceptibles in patches,The details,0.159987235,
Lloyd Jansen,Z _,0.159936933,
a model,Z Z,0.159934941,
https:doiorgjmbs  ) ,these models,0.159930295,
https:doiorgjmbs  ) ,These models,0.159930295,
interest in the total number of people,recursion,0.159926606,
Simon Frost,the number of infection events,0.159906605,
Z _  _,a flow diagram,0.159698298,
This section,recursion,0.159511851,
D,a recovery event,0.159385772,
[ epicookbook chapters  intro ) ),Black,0.159217855,
E,that model times,0.159165779,
different rates,Wikipedia,0.159088736,
SEIRD model ,I_d infectious,0.158899073,
simulations,Wikipedia,0.158848654,
Simon Frost,a grammar,0.158252582,
which,D,0.158218044,
model,R,0.158050447,
SEIRD model ,R,0.158050447,
birth of in this model,Z _  _,0.157585851,
each time step,Z Z,0.157570295,
R,which,0.157510333,
R,trees,0.157455651,
genealogies,Newick format,0.157391299,
susceptibles in patches,the state of our model,0.157296031,
( https:doiorg  ),infection,0.157187837,
D,a grammar,0.157091736,
proportions of ,recursion,0.157017447,
I_d infectious,Brownian motion,0.156911678,
This section,E,0.156871454,
values,[ epicookbook chapters  intro ) ),0.156710597,
simulations,one,0.156367656,
Susceptible individuals,i,0.155956748,
Susceptible individuals,I,0.155956748,
this,Z _  _,0.155931773,
https:doiorgjmbs  ) ,symptoms,0.155866658,
symptoms,Flexibility,0.15586495,
values,( chapters sir  intro ),0.155762563,
Black,Z _  _,0.155718802,
I_d infectious,[ epicookbook chapters  intro ) ),0.155537709,
Z _  _,recursion,0.155531069,
SIRS dynamics,Wikipedia,0.155257614,
E,Date,0.155243521,
part of the state of the art,recursion,0.15510158,
Simon Frost,one,0.154965005,
one of the simplest models,Z _  _,0.154918078,
The model in a closed population,Simon Frost,0.154903478,
I_d infectious,( chapters sir  intro ),0.15485302,
the simplest models,deaths,0.154600978,
Wikipedia,trees,0.154595675,
susceptibles in patches,the system,0.154563301,
an endemic equilibrium,patches,0.154504582,
the number of susceptible individuals,( Z _ Z _ ),0.154429004,
( https:doiorg  ),recursion,0.154318413,
Z Z,this code,0.154232845,
[ epicookbook chapters  intro ) ),recursion,0.154150213,
deaths,efficient methods for,0.154126597,
large numbers of,Z _,0.154010629,
SEIRD model ,Z _  _,0.153526145,
many SEIR models,( Z _ Z _ ),0.153375377,
a model,Z _  _,0.153212824,
state variables with a system of,Z Z,0.153030586,
infected individuals,Newick format,0.153022591,
This section,SIRS dynamics,0.152862428,
a stochastic process for the transmission rate,Z _  _,0.152836397,
compartmental models,[ epicookbook chapters  intro ) ),0.15262283,
E,alternative forms for the process,0.152605761,
susceptibles in patches,The models,0.152572445,
genealogies,this code,0.152454971,
I_d infectious,a grammar,0.152415005,
this,genealogies,0.152339036,
efficient methods for,Wikipedia,0.152198273,
SEIRD model ,trees,0.152159019,
model,trees,0.152159019,
susceptibles in patches,the model of,0.152114478,
birth of in this model,E,0.1520192,
E,time,0.15190204,
alternative forms for the process,( Z _ Z _ ),0.151887193,
susceptibles in patches,Wikipedia,0.151755979,
the network model of ,St,0.151670024,
I,( https:doiorg  ),0.151668672,
D,this,0.151639518,
this process,( Z _ Z _ ),0.151604348,
a record of the number of infection,Z _,0.15154067,
Element C_ij,who,0.1513544,
births,trees,0.151192862,
Date,Z Z,0.151109934,
D,infection,0.150964014,
a constant total population size ,E,0.150868233,
patches,pneumococcal transmission,0.150624114,
( https:doiorg  ),the coalescent,0.150492928,
rate immunity,genealogies,0.150384252,
rate immunity,Wikipedia,0.150343799,
Z _  _,part of the state of the art,0.15024066,
a record of the number of infection,Z _  _,0.150113184,
the state,recursion,0.149953872,
models,the final sizeof,0.149892672,
a capita rate Gamma,genealogies,0.149849727,
Z _  _,a grammar,0.149657429,
a special case of a general model,Z _,0.149440366,
births,Parameters,0.149390468,
One way,St,0.149139842,
rate case fatality ratio ( proportion rate (,St,0.149086377,
Parameters,trees,0.149061755,
an endemic equilibrium,D,0.14896643,
susceptibles in patches,The Newick format,0.148841061,
models,[ epicookbook chapters  intro ) ),0.148776478,
